iter	Passed	Remaining
426	2083	11630
427	2086	11614
428	2089	11599
429	2093	11594
430	2096	11579
431	2100	11566
432	2103	11549
433	2106	11535
434	2109	11520
435	2112	11506
436	2114	11488
437	2116	11468
438	2118	11448
439	2120	11427
440	2123	11412
441	2126	11396
442	2128	11377
443	2130	11359
444	2133	11342
445	2135	11322
446	2137	11306
447	2171	11455
448	2176	11452
449	2182	11449
450	2188	11450
451	2204	11506
452	2211	11509
453	2216	11507
454	2222	11510
455	2227	11506
456	2233	11503
457	2238	11500
458	2243	11496
459	2248	11493
460	2254	11493
461	2259	11488
462	2264	11483
463	2270	11484
464	2275	11479
465	2280	11474
466	2285	11473
467	2306	11546
468	2311	11541
469	2316	11537
470	2323	11541
471	2338	11586
472	2343	11582
473	2348	11578
474	2369	11651
475	2373	11644
476	2378	11638
477	2385	11644
478	2391	11640
479	2395	11632
480	2401	11633
481	2406	11629
482	2411	11623
483	2417	11624
484	2423	11622
485	2429	11622
486	2435	11623
487	2440	11616
488	2445	11610
489	2450	11605
490	2454	11597
491	2458	11587
492	2464	11585
493	2468	11576
494	2473	11570
495	2478	11567
496	2482	11556
497	2485	11545
498	2488	11531
499	2491	11516
500	2495	11505
501	2498	11491
502	2501	11477
503	2504	11462
504	2506	11446
505	2509	11432
506	2512	11418
507	2515	11403
508	2518	11387
509	2520	11369
510	2521	11351
511	2523	11332
512	2526	11316
513	2528	11300
514	2531	11284
515	2533	11267
516	2535	11250
517	2537	11233
518	2539	11215
519	2542	11199
520	2548	11203
521	2551	11188
522	2554	11173
523	2556	11159
524	2564	11166
525	2567	11154
526	2570	11140
527	2573	11128
528	2576	11115
529	2579	11101
530	2582	11087
531	2584	11072
532	2586	11056
533	2589	11042
534	2592	11028
535	2594	11012
536	2597	10997
537	2599	10981
538	2601	10965
539	2603	10949
540	2606	10935
541	2626	10996
542	2632	10994
543	2637	10991
544	2643	10990
545	2647	10984
546	2653	10981
547	2658	10980
548	2664	10976
549	2668	10969
550	2673	10964
551	2678	10959
552	2681	10949
553	2684	10936
554	2688	10928
555	2692	10918
556	2695	10908
557	2698	10895
558	2700	10880
559	2704	10871
560	2706	10856
561	2708	10840
562	2710	10824
563	2713	10809
564	2715	10795
565	2718	10781
566	2720	10767
567	2723	10754
568	2726	10741
569	2728	10725
570	2730	10711
571	2749	10763
572	2755	10762
573	2761	10760
574	2765	10755
575	2771	10753
576	2775	10746
577	2780	10743
578	2785	10739
579	2789	10731
580	2794	10724
581	2797	10715
582	2801	10707
583	2804	10695
584	2807	10684
585	2810	10672
586	2814	10662
587	2818	10654
588	2821	10644
589	2824	10632
590	2827	10622
591	2830	10609
592	2833	10598
593	2836	10586
594	2839	10575
595	2841	10561
596	2843	10546
597	2845	10531
598	2848	10520
599	2851	10508
600	2854	10495
601	2856	10481
602	2858	10468
603	2861	10454
604	2863	10441
605	2866	10428
606	2868	10414
607	2870	10401
608	2873	10388
609	2875	10373
610	2876	10359
611	2879	10344
612	2886	10348
613	2888	10335
614	2901	10359
615	2904	10350
